특허명,출원일자,등록일자,출원국
부양 방사패치 또는/및 초소형 전자 정밀기계 스위치를 이용한 광대역/다중대역 안테나,2004-06-09,2006-02-28,미국
통신 시스템에서의 인증 요청 방법 및 인증 수행 방법,2003-10-31,2008-02-12,대한민국
영상신호 변환을 이용한 고화질티브이 수신장치,2003-11-13,2006-01-23,대한민국
직교 주파수 분할 다중 시스템의 자동 이득 조절 장치 및 그 방법,2007-05-25,2010-08-24,미국
내재 토큰 CSMA/CA 하이브리드 프로토콜,2004-08-30,2010-01-05,미국
"SONET/SDH,PDH, 그리고 이더넷 신호의 통합 스위칭/전달 장치 및 그 방법",2004-07-01,2009-10-06,미국
동영상 인지모델을 통한 영상평가 및 화질개선장치와 그 제어방법,2004-04-27,2012-06-29,일본
전류궤환형 전압제어 발진기,2003-12-24,2006-01-26,대한민국
전류궤환형 전압제어 발진기,2004-10-05,2007-01-30,미국
무선랜 구간에서 통신 품질을 보장하는 매체접속제어 장치 및 방법,2009-01-07,2009-11-10,미국
SOI BiCMOS 기술을 이용한 저전력 반도체 소자 제조 방법,2004-12-23,2008-03-25,미국
급격한 금속절연체 상전이형 소자를 포함하는 전류제어회로,2004-06-10,2006-01-17,미국
큐오에스를 향상시키기 위한 무선 인터넷 단말 장치 및 패킷 전송 방법,2006-06-22,2008-08-20,프랑스
큐오에스를 향상시키기 위한 무선 인터넷 단말 장치 및 패킷 전송 방법,2006-06-21,2011-01-07,일본
"단일/다중 모드 변환기, 및 이를 이용한 광부호분할 다중 접속 시스템",2004-09-13,2008-04-29,미국
가변 고차 베셀 저역 통과 필터,2004-06-01,2006-05-23,미국
직교 주파수 분할 다중 접속 시스템의 상향 링크 채널 추정 시스템 및 그 방법,2004-10-20,2008-09-23,미국
저밀도 패리티 검사 부호의 부호화와 복호 장치 및 그 방법,2004-10-12,2008-07-01,미국
무선 인터넷 시스템에서의 효율적인 채널 품질 정보 보고 방법 및 그 장치,2008-11-03,2010-10-12,미국
무선 인터넷 시스템에서의 효율적인 패킷 재전송 방법 및 장치,2006-08-01,2010-10-06,중국
무선 인터넷 시스템에서의 효율적인 전력절약모드 운용 방법 및 장치,2007-06-07,2011-03-22,미국
"생체신호 검출모듈, 다채널 커넥터 모듈 및 이를 포함한 생체신호 검출장치",2004-12-29,2008-05-13,미국
다중게이트 모스 트랜지스터 및 그 제조 방법,2004-11-16,2007-04-24,미국
다중게이트 모스구조와 그 제조방법,2007-03-26,2008-02-19,미국
파장 가변 광송신 모듈,2005-05-02,2007-12-04,미국
병렬처리구조의 DS-CDMA UWB시스템에서의 초기 동기 획득 장치,2005-02-25,2009-11-24,미국
사다리꼴 모양의 초광대역 패치 안테나,2004-12-28,2006-05-09,미국
무선 휴대 인터넷 시스템에서 ＥＡＰ를 이용한 인증 방식에서의 보안관계 협상 방안,2007-02-26,2012-02-28,미국
증폭된 자발방출광(ASE) 반사형 이득고정형 광섬유 증폭기,2005-10-06,2009-03-31,미국
"자가 폴링되는 전기광학 및 비선형광학 고분자, 그의 제조방법 및 그것으로부터 제조된 필름",2005-10-14,2009-05-26,미국
다중 셀 환경에서의 동기식 ＯＦＤＭ 수신 장치 및 그 방법,2007-05-31,2010-09-21,미국
반도체 소자의 트랜지스터 및 그 제조방법,2005-07-12,2009-04-14,미국
주파수 락 검출기,2005-08-16,2010-01-05,미국
이동통신 시스템의 단말기 및 그의 동적으로 주기가 가변되는 레인징 방법,2007-06-05,2011-09-27,미국
신호처리 주파수대역의 가변을 위한 무선 송수신 장치,2005-09-12,2010-08-10,미국
이동 ＩＰ 단말에서의 ＤＮＳ 주소 갱신 방법,2007-06-07,2010-11-02,미국
무선 인터넷 시스템에서의 보고된 채널품질정보를 이용한 무선자원 할당 방법 및 장치,2007-06-14,2011-09-13,미국
16 상태 트렐리스 코딩을 이용한 디지털 텔레비전 송수신장치 및 그 방법,2005-04-01,2010-12-21,미국
사용자 인터페이스 설계 및 평가 시스템 및 손 상호 작용 기반의 사용자 인터페이스 설계 및 평가 시스템,2005-12-05,2008-12-09,미국
레인징 의사 잡음 부호 발생 장치 및 그 방법,2007-05-16,2011-08-02,미국
도파로형 광 검출기,2005-06-13,2007-04-17,미국
초광대역 임펄스 통신을 위한 무선 통신 시스템과 무선 통신 장치 및 그 방법,2005-11-01,2010-11-02,미국
이더넷 망에서의 토폴로지 발견 방법,2004-12-16,2007-01-18,대한민국
직교 주파수 분할 다중 접속 시스템의 이동 단말 장치 및 그 장치에서의 송신 전력 제어 방법,2007-06-18,2011-02-09,중국
직교 주파수 분할 다중 접속 시스템의 이동 단말 장치 및 그 장치에서의 송신 전력 제어 방법,2007-06-14,2010-11-02,미국
"고속 데이터 통신을 위한 다중 안테나, 다중 대역폭 직교 주파수 분할 다중화 전송 방식 물리 계층 시스템 및 그 방법",2008-01-22,2013-10-02,프랑스
고속 데이터 통신을 위한 데이터 송수신 장치 및 그 방법,2006-08-18,2007-07-02,대한민국
"고속 데이터 통신을 위한 다중 안테나, 다중 대역폭 직교 주파수 분할 다중화 전송 방식 물리 계층 구조 및 그 방법",2011-04-12,2013-10-02,폴란드
1/4 레이트 코딩된 강인 데이터를 이용한 디지털 텔레비전 송수신장치 및 그 방법,2005-09-15,2014-01-28,미국
디지털방송 수신성능 개선을 위한 빔 결합 방법 및 하이브리드방식의 빔선택방법과그를이용한디지털방송수신장치,2005-07-04,2010-06-29,미국
통합망에서 레이블 교환 경로의 품질을 관리하기 위한 장치 및 방법,2005-12-13,2009-10-06,미국
OFDMA 상향 링크에서 채널 품질 표시기 및 응답 채널 복조의 하드웨어 설계 구조,2007-06-07,2010-08-24,미국
직교 주파수 분할 다중접속시스템의 송신기에서 디지털 클리핑 장치,2007-06-07,2013-03-26,미국
구 복호기 및 그의 복호 방법,2007-06-19,2012-02-14,미국
MIMO-OFDM 시스템에서 효율적인 FFT의 공유를 통한 변복조기장치 및 그 방법,2007-06-11,2010-09-14,미국
직교주파수 분할 다중 접속 방식을 사용하는 셀룰러 시스템에서 셀 탐색을 위한 장치 및 그 방법,2007-06-07,2012-01-24,미국
온칩네트워크 인터페이스 장치 및 방법,2005-12-14,2010-05-04,미국
고효율의 실리콘 발광 소자,2007-06-06,2010-10-22,일본
실리콘 나노결정 구조를 포함하는 실리콘 질화물 박막 및 이를 이용한 발광소자,2007-05-07,2011-07-29,일본
알라모티의 시공간 QAM 신호 전송 기법에 대한 수신 장치,2007-06-07,2012-01-31,미국
임베디드 코드여기 선형예측 음성 부호화/복호화 장치 및 그 방법,2005-12-07,2012-09-11,미국
정전기 방전을 방지하기 위한 3중 웰 SCR,2008-01-23,2009-08-18,미국
계층적 Ｂ 픽쳐를 이용한 동영상 코딩시에 ＧＯＰ 크기를 성능에 따라 지능적으로 선택하기 위한 방법,2007-04-16,2012-05-22,미국
위치정보를 이용한 무선 단말기의 이종 시스템간 핸드오버 수행 방법 및 그 장치,2005-12-05,2010-05-18,미국
전자태그를 이용한 항공 수화물 분실 방지 방법 및 장치,2007-12-14,2010-08-17,미국
PLC 연동을 위한 플러그 형태의 소형 무선 액세스 포인터,2005-11-23,2009-09-01,미국
급격한 금속-절연체 전이를 이용한 메모리소자 및 그 동작방법,2007-12-27,2010-09-07,미국
OFDM에서 프리앰블을 이용하여 신호 대 간섭 및 잡음 비율을 추정하는 방법 및 장치,2008-02-19,2011-09-13,미국
실리콘 기판을 이용한 다중 게이트 모스 트랜지스터 및 그 제조 방법,2009-09-10,2012-04-24,미국
공간 필터링된 수신신호들의 최대 결합 기법,2008-03-26,2011-04-12,미국
트래픽 패턴-맵을 이용한 네트워크 트래픽 이상 상태 표시 및 검출 방법,2006-09-26,2010-12-07,미국
다중 FA(frequency assignment) 시스템에서 효율적인 스펙트럼 센싱 방안,2008-04-09,2014-09-16,캐나다
다중 FA(frequency assignment) 시스템에서 효율적인 스펙트럼 센싱 방안,2011-05-25,2013-04-19,일본
다중 FA(frequency assignment) 시스템에서 효율적인 스펙트럼 센싱 방안,2008-04-11,2012-10-02,미국
미세 티형 또는 감마형 게이트 전극을 가지는 전계효과 트랜지스터의 제조방법,2006-06-16,2008-06-17,미국
광학적 클럭 신호 추출 장치 및 방법,2005-10-14,2006-10-24,대한민국
동적 파장분할다중화 시스템에서 신호대잡음비 및 비트에러율의 과도현상을 감소시키기 위한 어븀첨가광섬유증폭기 및 그 곳에서의 증폭 방법,2005-12-27,2006-11-07,미국
저소비 전력 시스템을 위한 고효율 혼합모드 전력증폭기,2006-07-07,2008-10-14,미국
적외선 레이저 레이다의 영상 신호를 검출하기 위한 광 검출기 및 그 제조방법,2005-12-12,2007-01-11,대한민국
이동통신 시스템에서 전송 안테나의 전력 할당을 제어하는 다이버서티 전송 방법 및 기지국 전송기,2007-11-20,2011-05-10,미국
동일채널 중계장치 및 그 방법,2005-12-29,2010-11-30,미국
닥시스 케이블 모뎀의 물리보안공격에 대한 대응 방법,2006-07-10,2010-06-15,미국
적응적 스캐닝을 이용한 동영상 부호화/복호화 장치 및 그 방법,2014-01-20,2015-06-05,일본
적응적 스캐닝을 이용한 동영상 부호화/복호화 장치 및 그 방법,2012-05-11,2013-08-27,미국
적응적 스캐닝을 이용한 동영상 부호화/복호화 장치 및 그 방법,2013-06-05,2015-08-25,미국
적응적 스캐닝을 이용한 동영상 부호화/복호화 장치 및 그 방법,2018-12-11,2020-02-25,미국
실제적인 환경에서 인접 셀 간의 간섭을 억제하기 위한 기지국 제어 방법,2006-08-23,2015-02-11,독일
LOS 무선 통신 시스템에서 편광 전송을 이용한 데이터 송수신장치,2009-02-26,2013-12-31,미국
지능형 정보 서비스를 위한 계층적 문서 분류 장치 및 방법,2009-03-19,2012-01-31,대한민국
단일 캐리어 주파수 분할 다중 접속 시스템을 위한 다중 안테나 송신 장치 및 방법,2009-04-29,2013-02-04,대한민국
병렬코퍼스를 이용한 기계번역시스템의 오류 자동 탐지 및 추적 방법과 그 장치,2009-06-26,2013-12-10,미국
광대역 고주파수 무선 시스템에서 복수 개의 전송 안테나를 통한 전송 채널의 선택 방법 및 그 송신기와 수신기,2009-05-12,2012-01-17,미국
생분자 검출 장치 및 검출 방법,2011-03-03,2013-09-10,미국
방송 및 통신 시스템에서의 부가 데이터 전송 장치 및 그 방법,2014-02-06,2015-03-24,미국
락 검출 회로 및 락 검출 방법,2009-05-14,2011-10-18,미국
광대역 저잡음 증폭기,2009-04-14,2011-02-08,미국
중앙 집중식 매체 접속 제어 프로토콜을 사용하는 광대역 고주파수 무선 시스템에서 우회 경로 설정 방법 및 장치,2009-07-14,2015-02-17,미국
중앙 집중식 매체 접속 제어 프로토콜을 사용하는 광대역 고주파수 무선 시스템에서 우회 경로 설정 방법 및 그 장치,2019-08-01,2021-04-13,미국
순환 부캐리어 천이를 이용한 송신 안테나 다이버시티 전송 방법 및 장치,2009-06-26,2016-02-17,대한민국
순환 부캐리어 천이를 이용한 송신 안테나 다이버시티 전송 방법 및 장치,2010-12-15,2013-09-03,미국
셀룰라 시스템에서 임의 접속 방법 및 장치,2016-08-04,2022-03-08,미국
60GHz 대역을 사용하는 LOS 통신시스템에서 중계 장치를 경유하여로 우회 경로를 통한 데이터 송수신 방법 및 그 장치,2018-01-08,2019-04-30,미국
중앙 제어식 ＭＡＣ 기반의 무선통신 시스템에서의 데이터 송수신 장치 및 방법,2009-05-12,2014-03-11,미국
다중 셀 협력 통신 시스템 및 단말 장치,2011-12-09,2015-09-01,미국
"고속 무선 사설망에서 멀티-홉 서비스를 위한 라우팅 테이블 생성 방법, 데이터 전송 방법 및 라우팅 경로 형성 방법",2009-08-17,2012-08-14,미국
진화된 3G 이동통신시스템에서 디폴트 베어러 설정 실패 처리 방법,2011-03-10,2020-06-17,폴란드
이동 무선 접속 시스템에서 단말의 전력 절약을 위한 수면 모드 관리 장치 및 방법,2011-01-07,2013-12-10,미국
단말의 위치 정보 보고 장치 및 방법,2009-08-05,2016-02-03,대한민국
무선통신에서 확장 순환 전치인 경우 PHICH 자원 할당 방법,2010-01-05,2013-06-19,헝가리
통합 음성/음악 신호 부/복호화 방법 및 장치,2018-11-02,2020-09-15,미국
음성/음악 통합 신호의 부호화/복호화 장치,2017-11-13,2019-09-03,미국
단방향 4×4 인트라 예측을 이용한 동영상 부호화/복호화 방법 및 그 장치,2011-06-01,2014-09-24,중국
기준 바이어스 발생 회로,2009-07-22,2011-05-17,미국
단방향 4×4 인트라 예측을 이용한 동영상 부호화/복호화 방법 및 그 장치,2011-05-16,2013-01-29,미국
예측 모드를 이용한 영상 부호화 장치 및 복호화 장치,2020-03-17,2022-03-15,미국
ＭＤＣＴ기반의 코더와 이종의 코더 간 변환에서의 인코딩 장치 및 디코딩 장치,2018-11-29,2019-12-03,대한민국
다중 반송파 관리 장치 및 방법,2011-02-23,2013-09-03,미국
무선 네트워크 분산형 자원할당 기술,2009-11-18,2012-11-06,미국
단일 트랜시버를 갖는 USN용 센서 노드에서의 거리조절 MAC프로토콜,2009-08-27,2012-08-28,미국
아날로그 회로에서 dB-선형 이득 제어가 가능한 이득 조절 장치 및 그에 따른 증폭기,2009-07-22,2010-10-26,미국
저항성 재질로 이뤄진 공진형 전자파 흡수체의 무선 통신 환경에서의 불요 전자파 저감 방법,2009-08-12,2012-04-24,미국
무선 측위 방법 및 그 장치,2011-04-01,2013-11-05,미국
무선시스템에서 방향 빔 충돌 방지 및 장치 디스커버리 운용 방법,2011-03-21,2014-07-01,미국
편광부호화 양자 암호 시스템,2009-07-07,2012-09-11,미국
셀간 간섭 제거를 위한 파워 제어 방법 및 그 장치,2009-12-03,2013-04-02,미국
컨텐츠 자동 판매기에서 영상 신호 획득을 통한 모바일 단말 판별 방법,2009-10-08,2020-07-08,독일
"주파수 집합 통신 환경에서의 단말 및 기지국, 이를 이용한 호 접속 처리 방법",2010-08-27,2013-12-03,미국
MDCT 기반의 코더와 이종의 코더 간 변환에서의 인코딩 장치 및 디코딩 장치,2011-02-07,2017-09-26,미국
전계 방출 장치,2009-07-14,2013-08-27,미국
다중 셀 협력 통신을 위한 송신 다이버시티 기법,2011-03-04,2013-11-05,미국
스케일러블 비디오 부호화에서 ROI처리를 위한 메타데이터 생성 및 그 메타데이터를 이용한 ROI 추출 방법 및 시스템,2008-05-01,2012-05-22,미국
스케일러블 비디오 부호화에서 ROI처리를 위한 메타데이터 생성 및 그 메타데이터를 이용한 ROI 추출 방법 및 시스템,2013-05-28,2014-11-04,미국
트래픽 분산 기능을 지원하는 다중 모드 단말 및 그 트래픽 분산 방법,2006-12-08,2010-03-23,미국
이더넷 기반의 수동형 광네트워크에서 광종단장치와 광가입자장치들 간에 보안 채널 설정 방법 및 이를 위한 프레임 전송 제어용 다중점 제어 프로토콜 메시지 구조,2006-12-01,2011-12-27,미국
낮은 용융점을 가진 나노크기의 금속입자가 첨가된 전계 방출 캐소드,2006-12-01,2015-04-15,독일
우선순위를 가지는 실용적 다중 제약 기반의 경로 선정 기법,2006-12-07,2010-06-08,미국
그룹화 직교코드 신호값을 이용한 채널용량 증대 효과를 갖는 OFDMA 송신 장치 및 수신 장치,2005-12-10,2012-11-30,대한민국
멀티 쓰레디드 프로세서 기반의 병렬 시스템을 위한 적응형 실행 기법,2006-06-15,2009-04-28,미국
