특허명,출원일자,등록일자,출원국
지능형 영상 분석 기반 하천 범람 탐지 시스템 및 그 방법,2019-12-05,2021-04-13,미국
3D 캐릭터 고속 생성 및 보안에 강인한 다중 레이어 기반 학습엔진 처리 방법 및 장치,2019-11-21,2021-10-05,미국
3차원 컬러 메쉬 복원 방법 및 장치,2017-11-24,2020-12-30,대한민국
3차원 컬러 메쉬 복원을 위한 텍스쳐 맵 컬러 보정 방법,2018-08-07,2020-10-06,미국
상향링크 데이터 채널 송수신 방법 및 이를 위한 장치,2018-09-07,2019-10-11,대한민국
이중 편파 안테나,2018-01-09,2022-02-04,대한민국
광 신호 생성 장치 및 그것의 동작 방법,2017-12-22,2020-09-14,대한민국
멀티레벨 광 변조 신호 생성장치 및 방법,2017-12-27,2019-05-14,미국
이종 안테나 장치의 신호 측정 장치 및 방법,2017-12-19,2022-08-02,대한민국
다지점 영상회의 장치 및 그 제어 방법,2017-12-22,2021-11-04,대한민국
고화질 영상회의에 대한 장치 및 방법,2018-12-21,2020-04-07,미국
통신 네트워크에서 보안 연결을 관리하기 위한 장치 및 방법,2017-11-01,2020-08-10,대한민국
단일모드 분포궤환 레이저 다이오드,2017-11-29,2021-02-10,대한민국
구형 휠 모터 및 그 제어 시스템,2018-07-05,2021-09-27,대한민국
통신 시스템에서 시스템정보 전송 방법,2020-02-05,2022-05-03,미국
뇌 신호 통신 장치,2018-03-12,2022-09-26,대한민국
스마트 글라스를 이용한 발화자 선택 장치 및 방법,2017-12-14,2022-09-02,대한민국
실내 위치 추정 시스템에서 가상 개구면(배열 안테나 크기) 및 센서들을 이용한 효율적인 위치 추정 방법 및 장치,2017-11-29,2019-09-17,미국
도메인 적응형 워크플로우 엔진 프레임워크,2018-04-27,2022-08-05,일본
워크플로우 엔진 프레임워크,2018-04-24,2021-05-27,대한민국
도메인 적응형 워크플로우 엔진 프레임워크,2018-04-26,2021-06-15,미국
광자 검출기,2017-12-07,2021-08-31,대한민국
플라즈모닉 커플러를 이용한 도파로 집적형 고효율 단일광자 검출기,2018-09-19,2020-02-04,미국
멀티 레벨을 가지는 광 신호를 생성하는 광 신호 송신 장치 및 광 신호 송신 장치가 수행하는 방법,2017-11-23,2019-08-28,대한민국
멀티레벨 광신호 전송을 위한 광송신기 구동장치 및 방법,2018-06-29,2019-12-31,미국
"멀티미디어 콘텐츠와 연관되는 후각 정보 인식 장치 및 방법, 라벨 정보 생성 장치 및 방법",2017-09-18,2019-10-29,대한민국
채팅로봇 시스템 및 서비스방법,2017-11-27,2020-10-20,대한민국
사용자를 대신하여 다른 챗봇과 대화하는 챗봇 시스템,2018-09-06,2020-09-08,미국
조절 가능한 플라즈모닉 공진 특성을 가지는 메타물질 구조 및 그 제조 방법,2018-06-29,2020-01-10,대한민국
인공지능 네트워크를 사용하여 재난을 감지하기 위한 전자 장치,2018-07-12,2022-07-08,대한민국
"드론 식별 서버 장치, 드론 식별 단말 장치 및 방법",2018-06-20,2022-06-20,대한민국
통합 스토리지 관리 장치 및 방법,2018-08-20,2021-08-04,대한민국
ATSC 3.0 송신기 식별신호 분석기,2019-03-19,2021-05-11,미국
[6GV] 딥 러닝 기반 참조 프레임 생성을 이용한 비디오 화면 간 예측 방법 및 장치,2019-04-03,2021-05-25,미국
차광구조를 구비한 박막 트랜지스터,2018-08-03,2022-06-10,대한민국
박막 트랜지스터,2019-04-03,2020-11-03,미국
방사선원이 결합된 스파이크 뉴럴 네트워크 시냅스 회로,2019-04-08,2022-08-02,미국
광 가입자 망에서 저지연 서비스 제공을 위한 대역 할당 장치 및 방법,2018-05-15,2020-03-09,대한민국
광가입자망에서 저지연 서비스 제공을 위한 대역할당방법,2018-12-04,2020-08-04,미국
"캡슐 내시경 수신 장치, 이를 포함하는 캡슐 내시경 시스템, 및 캡슐 내시경 수신 장치의 동작 방법",2018-07-27,2022-09-14,대한민국
난스를 이용한 합의 노드 선택 방법 및 그것을 이용한 블록체인 생성 방법 및 장치,2019-04-01,2022-09-29,대한민국
추적 불가능한 분산 합의 주체 선택에 의한 분산 합의 방법 및 장치,2019-04-19,2021-07-13,미국
통신 시스템에서 저지연 통신을 위한 방법 및 장치,2019-04-10,2021-05-03,대한민국
오디오 신호의 고대역 부호화 방법,2020-03-10,2022-09-27,미국
압력-변형 센서 및 이의 제조방법,2018-10-10,2021-12-24,대한민국
압력-변형 센서 및 이의 제조방법,2018-10-10,2021-12-24,대한민국
압력-스트레인 복합 센서 및 그 제조방법,2019-04-19,2021-05-11,미국
다중 사용자 추적 장치 및 방법,2019-01-24,2021-05-24,대한민국
이종의 다중 액세스 이동 시스템에서 ATSSS 방법,2019-05-30,2021-07-20,미국
System information의 on demand 전송을 위한 신호 전송 방법 및 장치,2019-01-22,2021-10-27,프랑스
System information의 on demand 전송을 위한 신호 전송 방법 및 장치,2019-01-22,2021-10-27,영국
System information의 on demand 전송을 위한 신호 전송 방법 및 장치,2019-02-22,2021-08-04,일본
System information의 on demand 전송을 위한 신호 전송 방법 및 장치,2019-01-17,2021-06-22,미국
기지국 및 기지국의 동작 방법,2017-03-17,2021-08-02,대한민국
이동통신 환경에서 단말 상태 천이에 따른 접속 절차의 간소화 방법,2018-03-15,2020-01-21,미국
공장의 실시간 상황 변화에 대응하기 위한 동적 상황 관리 장치 및 방법,2017-03-13,2021-02-22,대한민국
복수의 영상 동기화 방법 및 그 장치,2017-04-04,2020-06-25,대한민국
사물 디바이스 간의 협업을 제공하는 인프라 장치 및 그 방법,2018-01-11,2022-11-18,대한민국
히마와리 8호 AHI 센서를 이용한 대기상단 광대역 알베도 산출 알고리즘,2017-01-04,2019-02-11,대한민국
뇌파를 이용한 정보 입력 방법 및 이를 위한 장치,2017-04-03,2022-04-05,대한민국
스트리밍 서비스의 성능 확장 방법 및 이를 위한 장치,2017-03-07,2019-08-19,대한민국
다중 드론 네트워크 제어 장치 및 방법,2017-12-18,2021-12-13,대한민국
협대역 레이더 장치 및 그것의 동작 방법,2017-05-30,2022-07-19,대한민국
MIMO 레이더 송신신호 생성 및 수신신호 처리,2018-04-18,2021-07-20,미국
신조어 자동 인식을 위한 언어 분석에 기반한 온라인 문맥 광고 지능화 장치 및 그 방법,2017-03-14,2019-09-03,대한민국
신조어를 자동 인식하는 언어 분석 기반 온라인 문맥 광고 지능화 장치 및 서비스,2017-09-14,2020-06-23,미국
교통신호 음성 안내 방법,2017-02-28,2019-08-19,대한민국
다중위성 강수자료 합성장치 및 방법,2017-01-10,2018-03-02,대한민국
정지궤도 기상위성을 이용한 실황예보자료 생성 방법,2017-01-12,2018-07-19,대한민국
표시장치,2017-04-04,2021-07-01,대한민국
하향링크 제어 채널의 설정 및 전송 방법,2019-01-30,2022-06-14,중국
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,독일
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,스페인
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,프랑스
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,영국
목적지 언어 묘사 주행 가이드 장치 및 시스템,2019-11-27,2021-11-23,미국
난수 생성 장치 및 이의 동작 방법,2019-04-09,2022-03-04,대한민국
방사선 검출기의 랜덤한 펄스신호로부터의 고속 난수 생성 방법,2020-04-08,2022-06-28,미국
보안 통제 장치 및 방법,2019-03-26,2021-07-02,대한민국
직접수신 광전송 신호처리 장치 및 방법,2019-05-17,2021-11-26,대한민국
교류 전자파를 측정하는 전류센서와 이를 이용한 차단기,2018-12-11,2019-05-17,대한민국
교류 전자파를 측정하는 전류센서와 이를 이용한 차단기,2018-12-11,2019-05-17,대한민국
교류 전자파를 측정하는 전류센서와 이를 이용한 차단기,2019-12-10,2021-08-17,미국
교류 전자파를 측정하는 전류센서와 이를 이용한 차단기,2019-12-10,2021-08-17,미국
Gradient Field의 이동 (Movement)를 이용한 전자공명이미징 시스템,2019-09-16,2022-02-22,미국
무선 통신 시스템에서 이동 기지국의 핸드오버를 지원하기 위한 장치 및 방법,2019-11-29,2021-08-03,미국
레이다 표적 검출 연산량 감소 방법 및 장치,2019-03-28,2021-10-19,대한민국
광섬유격자센서용 4채널 AWG LC ROSA,2020-01-13,2021-01-05,미국
빔호핑 위성 기반 지상 전송 방법 및 장치,2019-12-20,2021-12-14,미국
반도체 소자의 제조 방법,2019-04-10,2022-04-26,대한민국
재난 경보 시스템 및 그 방법,2019-04-25,2022-04-04,대한민국
방송시스템 가상화 서비스 제공 장치,2018-12-07,2020-07-01,대한민국
다중 패턴 문자 영상 자동 생성 기반 문자 인식 장치 및 그 방법,2019-04-16,2020-10-13,대한민국
영상의 전처리 방법 및 장치,2019-05-24,2022-09-14,대한민국
매칭된 특징점 수를 향상시키기 위한 영상 전처리 장치 및 방법,2020-05-22,2021-11-23,미국
마이크로포커스 엑스선 튜브,2020-01-09,2022-02-14,일본
개인정보보호를 위한 프라이버시 마스킹 영역 설정 및 검출 방법,2020-01-22,2022-07-26,미국
채널 공유에 기반한 애드 혹 방송 서비스 제공 방법 및 이를 위한 장치,2017-12-06,2022-05-03,대한민국
애드혹 방송서비스를 위한 방법 및 장치,2018-12-05,2020-05-05,미국
반복 추정에 기반한 자기간섭신호 추정 방법 및 이를 위한 장치,2017-12-11,2021-11-22,대한민국
다중 프리앰블을 이용한 채널추정 및 비선형 인자 추정장치 및 방법,2018-10-05,2021-01-19,미국
반도체 레이저 다이오드 광원 패키지,2017-12-07,2022-04-05,대한민국
광섬유 증폭용 레이저 다이오드 결합기,2018-10-31,2022-01-04,미국
세포 노출 시스템,2017-11-29,2022-09-13,대한민국
데이타 공유 인프라 플랫폼,2018-09-20,2021-03-31,독일
데이타 공유 인프라 플랫폼,2018-09-20,2021-03-31,프랑스
데이타 공유 인프라 플랫폼,2018-09-20,2021-03-31,영국
데이터 공유 인프라 플랫폼 방법 및 장치,2018-09-14,2021-07-20,미국
음성인식용 음향모델을 위한 심층 신경망 기반 상태 결정 장치 및 방법,2017-11-28,2021-02-15,대한민국
반도체 장치 및 이의 제조 방법,2018-01-16,2022-01-25,대한민국
반도체 집적 및 그 제조방법,2018-09-18,2020-05-12,미국
영상 제목 및 키프레임 생성 방법 및 그 장치,2018-02-08,2022-09-15,대한민국
내용과 자막을 이용한 영상의 제목 및 키프레임 자동 생성 방법,2018-09-05,2020-10-06,미국
밀리미터파 기반 이동통신 시스템의 무선링크 관리 방법 및 절차,2018-09-14,2020-12-22,미국
반도체 소자 및 그의 제조 방법,2018-04-20,2021-04-29,대한민국
질화물계 수직형 트랜지스터 구조 및 제조방법,2018-09-20,2020-03-31,미국
광역다중화기를 포함하는 광 수신기,2018-01-09,2020-06-23,대한민국
광역다중화기를 포함하는 광수신 모듈,2018-06-29,2019-10-15,미국
동영상 씬의 감성분류 방법,2018-05-30,2020-02-18,미국
덕트 간섭 현상을 분석하기 위한 덕트 측정 드론,2017-12-15,2022-10-18,대한민국
음악 검색 장치 및 방법,2018-01-08,2022-10-28,대한민국
동영상 콘텐츠 내의 인물을 인식하는 장치 및 방법,2017-12-12,2022-08-11,대한민국
얼굴 인식과 화자 인식을 사용한 동영상 콘텐츠 출연자 인식 구간 생성 방법 및 시스템,2018-01-26,2021-02-09,미국
스테레오 카메라와 추가 카메라를 이용한 무인비행체 장애물 탐지 시스템 및 방법,2019-07-03,2021-12-14,중국
광송신 모듈을 위한 패키지,2018-12-03,2019-12-24,미국
푸쉬 풀 동작을 수행하는 전자 회로 및 그것을 포함하는 발진기,2018-10-15,2022-10-21,대한민국
푸쉬-풀 콜피츠발진기,2019-10-14,2021-02-09,미국
캡슐 내시경과 통신하기 위한 최적의 전극들을 선택하는 전극 선택 장치 및 전극 선택 방법,2018-08-30,2022-06-15,대한민국
콘빔 CT 기하학 보정 방법,2019-08-21,2021-06-29,미국
저손실 스파이럴 코일,2018-10-17,2020-08-26,대한민국
IoT 단말 레벨에서의 프라이버시 필터링 기법,2019-02-12,2021-10-05,미국
채널 본딩 기반의 방송 신호 송/수신 장치 및 방송 신호 송/수신 방법,2020-04-28,2021-09-21,미국
5G 네트워크에서 멀티 액세스망을 통한 효율적인 트래픽 분산 방법 및 장치,2019-05-09,2021-07-13,미국
수동형 광 네트워크에서의 기계학습 기반 대역 할당 방법 및 장치,2018-09-19,2022-05-10,대한민국
상호 작용 장치 및 방법,2018-09-20,2020-10-16,대한민국
멀티모달 기반 교류 행위 시점 인식 및 제어 방법,2018-11-30,2020-10-13,미국
휴먼 행동 인식 장치 및 방법,2018-08-28,2020-09-01,대한민국
로봇 환경에서 휴먼의 일상 행동을 인식하는 장치 및 방법,2018-12-07,2020-09-29,미국
로봇의 사회 지능 평가 방법 및 이를 위한 장치,2018-08-28,2020-06-25,대한민국
"아날로그 광 링크 기반의 전송 성능을 모니터링하는 전송 성능 모니터링 방법 및, 방법을 수행하는 모니터링 장치",2018-08-06,2022-08-22,대한민국
공간정보 영상 생성 장치 및 방법,2018-09-11,2021-01-07,대한민국
간섭 신호원의 위치를 추정하는 위치 추정 방법 및 그 방법을 수행하는 위치 추정 시스템,2018-11-02,2021-11-12,대한민국
실내 위치 추정 시스템에서 가상 초분해능 구조(알고리즘 포함)와 지연-공간 분석을 통한 위치 추정 방법 및 장치,2018-12-04,2022-09-27,미국
지능형 IoT기반의 교통인프라 재난관리 방식,2019-04-30,2020-09-15,미국
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,이탈리아
하향링크 제어 채널의 설정 및 전송 방법,2019-01-17,2021-07-16,일본
통신 시스템에서 제어 채널의 송수신 방법 및 장치,2018-01-04,2020-10-06,대한민국
하향링크 제어 채널의 설정 및 전송 방법,2018-12-18,2020-10-07,NETHERLAND
하향링크 제어 채널의 설정 및 전송 방법,2018-12-14,2022-07-05,미국
무선통신시스템의 상향링크 제어정보 전송 방법 및 장치,2019-07-03,2021-10-05,미국
멀티 카메라의 정보 처리 장치 및 방법,2017-11-06,2022-08-04,대한민국
멀티카메라를 이용한 정보 획득 방법 및 장치,2018-01-11,2020-06-23,미국
무선 통신 시스템의 데이터 변조 방법 및 장치,2017-12-29,2022-02-17,대한민국
고주파 On-off-keying (OOK) 변조기,2018-01-12,2019-01-29,미국
통신 네트워크에서 빔포밍을 지원하는 방법 및 장치,2018-01-19,2022-09-26,대한민국
무선 접속 시스템에서 다중 안테나를 이용한 자원관리 방법 및 그 장치,2018-01-22,2019-04-16,미국
바이오 물질 분석 방법,2017-05-23,2019-11-06,대한민국
단일 영상을 이용한 카메라 캘리브레이션 방법 및 이를 위한 장치,2017-03-16,2022-01-18,대한민국
뉴로모픽 연산 장치,2017-09-05,2021-10-12,대한민국
뉴로모픽 회로 연산기 및 그것의 연산 오차 보정 방법,2017-11-30,2020-10-13,미국
색상과 형태를 동시에 고려한 실시간 영상 추적 방법 및 이를 위한 장치,2017-03-16,2021-07-05,대한민국
상관필터와 색상정보를 결합한 실시간 영상 추적 방법,2017-11-20,2019-05-07,미국
VR 체험을 위한 VR 컨텐츠 저작 장치 및 그 방법,2017-02-07,2019-08-05,대한민국
가변 윈도우 사이즈 기반의 음원 분리 방법 및 장치,2017-06-08,2022-05-03,대한민국
무선 통신 네트워크에서 스케줄링 및 간섭 제어를 위한 통신 노드 및 그의 동작 방법,2017-12-06,2022-06-14,대한민국
엑스선 소스의 구동 방법,2017-12-14,2020-10-19,대한민국
엑스선 소스의 구동 방법,2018-01-24,2020-06-30,미국
신경전극 및 이의 제조방법,2017-06-05,2022-05-06,대한민국
전자파 잔향실,2017-02-10,2018-12-28,대한민국
[VVC] 화면 내 예측 및/또는 화면 간 예측을 이용한 영상 부호화/복호화 방법 및 장치,2021-06-30,2022-09-27,미국
집전체,2019-05-08,2022-07-12,대한민국
네트워크 기반의 영상 처리 방법 및 이를 위한 장치,2019-12-11,2022-10-26,대한민국
TCP 혼잡 윈도우를 최적화하는 통신 장치 및 방법,2019-04-08,2022-04-18,대한민국
학습 기반 통신 최적화 방법 및 장치,2020-03-06,2021-11-16,미국
5G 네트워크에서 트래픽 분산을 위한 스티어링 룰 제공 방법 및 장치,2020-01-14,2021-11-23,미국
열악 번호판 판독 장치 및 그 시스템,2020-03-25,2021-10-05,미국
멀티 초점영상을 이용한 올인포커스영상 생성 방법 및 장치,2019-12-20,2022-08-02,미국
전계 방출 소자,2020-01-09,2022-04-11,대한민국
전계 방출 소자,2020-01-09,2022-04-11,대한민국
전계 방출 소자,2020-01-09,2022-04-11,대한민국
전계 방출 소자,2020-01-09,2022-04-11,대한민국
탄소나노튜브 실을 이용한 전자 에미터,2020-01-30,2020-10-13,미국
탄소나노튜브 실을 이용한 전자 에미터,2020-01-30,2020-10-13,미국
탄소나노튜브 실을 이용한 전자 에미터,2020-01-30,2020-10-13,미국
이머시브 비디오 포맷팅 방법 및 그 장치,2020-01-31,2021-12-28,미국
인체 통신에서 생성되는 노이즈를 제거하기 위한 수신기,2019-05-29,2021-10-13,대한민국
Configured grant 방식에 기초한 상향링크 통신 방법,2019-12-26,2022-06-14,미국
UL 반복 전송을 위한 피드백 방법,2020-01-31,2022-04-05,미국
대면적 터치스크린패널 제조 방법,2020-02-12,2021-05-11,미국
대면적 터치스크린패널 제조 방법,2020-02-12,2021-05-11,미국
단말의 이동성 지원을 위한 기지국의 설정 및 단말의 측정,2020-02-14,2022-04-19,미국
인체 감지 장치,2019-06-28,2022-03-15,대한민국
이동통신망에서 시민감 데이터의 한계시간 관리 방법,2020-02-25,2022-08-16,미국
가상 현실 콘텐츠의 시청 피로도 분석 장치 및 방법,2017-12-05,2022-11-14,대한민국
광대역 무선통신 시스템에서 무선 자원 분할 관리 방법 및 그 자원 분할 관리 방법을 지원하는 제어 정보의 송수신 방법,2018-09-21,2020-10-06,미국
중간시점 영상 생성 장치 및 방법,2018-08-27,2020-05-12,대한민국
고속중간시점영상생성장치 및 방법,2018-09-26,2020-11-17,미국
다채널 무선 통신 시스템에서 상향링크 채널을 운영하기 위한 방법 및 장치,2018-02-12,2021-05-17,대한민국
분할 메모리 관리장치 및 방법,2018-10-15,2022-11-18,대한민국
분할메모리 구조 하이퍼바이저 상에서 동작하는 가상머신의 계약 성능을 보장하는 기술,2018-10-16,2020-08-25,미국
기계학습에 기반한 가상 현실 콘텐츠의 사이버 멀미도 예측 모델 생성 및 정량화 조절 장치 및 방법,2017-12-05,2021-03-23,대한민국
다중-빔 시스템에서 SSB와 RACH 자원 연관 및 이에 대한 RACH 설정 컨텐츠,2018-09-10,2022-08-16,대한민국
SSB to RACH resource associations and related RACH configuration contents in a multi-beam system,2018-09-12,2020-06-16,미국
3차원 영상 생성 장치 및 방법,2017-12-08,2020-08-27,대한민국
가상 현실 콘텐츠의 시청 피로도 예측 모델에 관한 모니터링 장치 및 방법,2017-12-05,2022-11-14,대한민국
네트워크 슬라이스를 통한 서비스 제공 방법 및 장치,2017-11-17,2021-11-10,대한민국
지표면에서의 하향 단파 복사 산출 방법,2017-12-06,2022-04-18,대한민국
개인용 심부 마이크로파 온열기,2018-10-11,2022-11-29,미국
프레임 전송 제어 방법 및 장치,2018-09-27,2021-08-11,대한민국
스케쥴링 된 데이터 트래픽의 프레임 프리엠션 기능을 제공하기 위한 스테이트 머신,2018-09-27,2020-05-19,미국
Preemption 지시 방법,2020-03-05,2022-09-20,미국
파장 가변 레이저 소자,2017-12-19,2022-05-17,대한민국
VR 콘텐츠의 멀미도 정보 제공 장치 및 그 방법,2018-04-04,2019-12-12,대한민국
네트워크에서 메타데이터의 동기화를 제어하는 장치 및 그 방법,2017-11-01,2022-09-05,대한민국
분산 파일 시스템에서 소거코딩 기반의 파일 입출력을 지원하는 장치 및 그 방법,2017-11-22,2021-05-10,대한민국
토러스 네트워크 기반의 분산 파일 시스템을 위한 서버 및 이를 이용한 방법,2017-11-22,2020-11-09,대한민국
분산 파일 시스템 복구 장치 및 방법,2018-05-08,2020-08-13,대한민국
빔 호핑 위성을 위한 수신 신호 검출 시간 기반의 초기 BSTP 동기 장치 및 방법,2018-11-05,2021-02-02,미국
영상 처리 방법 및 이를 이용한 영상 재생 장치,2019-05-30,2022-06-21,대한민국
비디오 코딩 방법 및 장치,2019-05-31,2021-06-22,미국
근접 센서를 포함하는 송신 장치 및 이를 이용한 생체 통신 방법,2018-08-30,2022-09-28,대한민국
적외선 광 센서 및 그의 제조 방법,2018-09-12,2022-08-04,대한민국
연속클럭을 이용한 다 채널 펄스 레이더 장치,2019-06-07,2022-06-21,미국
미생물 분석 장치 및 방법,2018-11-30,2022-06-20,대한민국
전도성 고분자 구조물을 이용한 광학적 미생물 분석 장치 및 방법,2019-11-13,2021-09-14,미국
난스 증명 기반 분산합의 노드 선정 방법 및 장치,2019-04-30,2021-12-20,대한민국
난스 증명 기반 분산합의 노드 선정 방법 및 장치,2021-12-20,2022-11-28,대한민국
"능동형 입력 어레이 구현을 위한 화소 구조와 구동방법, 그리고 이를 채용한 응용장치",2019-08-27,2022-11-01,미국
통신 시스템에서 네트워크 슬라이싱의 자원 관리 방법,2018-12-27,2021-09-07,미국
저비용 STL 구현 방법,2019-06-18,2021-02-09,미국
긴급구조용 이동통신기반 내비게이션 서비스의 재난 지역 정보 제공 및 업데이트 방법,2018-10-30,2021-06-08,미국
2.5 마이크로미터 이하 미세먼지(PM2.5) 측정 및 정보 제공 장치 및 방법,2018-10-16,2021-02-18,대한민국
"서버 장치, 클라이언트 장치 및 네트워크 주소 변이 기반 통신 방법",2019-05-14,2020-07-15,대한민국
네트워크 주소 변이를 위한 익명 주소 기반의 히든 터널 네트워킹,2019-06-26,2021-11-09,미국
"[FVC] 움직임 제약 기반의 영상 부호화 방법, 복호화 방법 및 그 장치",2020-06-26,2022-09-13,미국
"[FVC] 영상 처리 방법, 그를 이용한 영상 복호화 방법 및 그 장치",2020-01-23,2021-06-22,미국
"[FVC] 병렬 처리를 위한 움직임 정보를 처리하는 영상 처리 방법, 그를 이용한 영상 복호화, 부호화 방법 및 그 장치",2019-09-30,2022-10-18,중국
전자파 잔향실,2017-09-27,2020-03-24,미국
고용량 서비스 제공을 위한 고밀도 분산 네트워크에서의 다중 전송점 전송 방법,2018-01-31,2020-04-21,미국
CTI 모드의 fec_block_start,2019-02-28,2021-09-28,캐나다
CTI 모드의 fec_block_start,2019-03-12,2022-01-18,중국
첫 번째 완전한 FEC 블록의 시작 위치를 나타내는 프리앰블을 포함하는 방송 신호 프레임 생성 장치 및 방송 신호 프레임 생성 방법,2017-09-08,2022-09-08,대한민국
CTI 모드의 fec_block_start,2019-02-26,2021-02-16,미국
CTI 모드의 fec_block_start,2020-12-23,2022-05-10,미국
메타데이터 관리 시스템 및 방법,2017-04-19,2020-01-17,대한민국
실내 측위 방법 및 장치,2017-07-10,2021-11-12,대한민국
봉지 방법,2017-05-10,2021-08-26,대한민국
뉴로모픽 연산 장치,2017-07-07,2021-10-13,대한민국
뉴로모픽 회로 시냅스,2017-11-06,2019-10-08,미국
에너지 스토리지 제어 방법 및 이를 수행하는 장치들,2017-07-31,2021-11-02,대한민국
가상 에너지 스토리지 충방전 제어 방법 및 이를 수행하는 장치,2017-10-31,2020-08-04,미국
유기 발광 다이오드 소자,2017-06-07,2021-07-29,대한민국
보행자 검출 장치 및 방법,2016-11-28,2018-07-23,대한민국
리튬 전지용 전극 구조체의 제조 방법 및 이를 이용한 리튬 전지의 제조 방법,2017-05-10,2022-09-26,대한민국
전기 변색 거울,2017-09-04,2020-08-26,대한민국
싱글 혹은 멀티의 그래핀 층과 메탈 혹은 메탈 코팅된 기판 사이의 계면 제어,2018-01-08,2019-05-07,미국
보안 영역을 이용한 사용자 인증 장치 및 방법,2017-06-30,2022-01-24,대한민국
자율주행 로봇 장치 및 자율 주행 방법,2017-07-17,2020-09-23,대한민국
다중 로봇의 교착상태 예방 제어 방법,2018-04-02,2020-12-01,미국
상호 상관을 이용한 부가 정보가 없는 선택사상 통신 방법 및 장치,2017-03-27,2022-05-03,대한민국
차량의 통신 메시지 처리 장치 및 방법,2017-06-30,2021-08-04,대한민국
OPC-UA 기반의 단방향 데이터 송신 장치 및 방법,2017-06-16,2020-10-20,대한민국
증강현실을 위한 가상 콘텐츠 합성 방법 및 이를 위한 장치,2017-07-07,2020-08-24,대한민국
증강현실을 위한 조명과 센서 물리모델링 시스템 및 방법,2017-12-05,2019-08-20,미국
우선 순위 기반 에너지 분배 방법 및 그 시스템,2017-09-05,2022-10-12,대한민국
레이저 공정용 반도체 접합소재 제조 기술,2020-02-19,2022-11-01,미국
레이저 공정용 반도체 접합소재 제조 기술,2020-02-19,2022-11-01,미국
위치 및 신원 관리 시스템,2019-06-14,2021-05-10,대한민국
지상파 UHD 방송망을 통한 긴급재난문자서비스(CBS) 제공 방법 및 그 장치,2020-03-10,2021-08-17,미국
광통신용 광원 및 광결합 구조,2020-03-19,2022-08-16,미국
비면허 대역의 채널 접속 방법 및 채널 점유 시간의 지시 방법,2020-02-27,2022-08-23,미국
비면허 대역에서 채널 사운딩을 위한 전송 및 수신 방법,2020-02-28,2021-09-14,미국
비면허 대역에서 채널 사운딩을 위한 전송 및 수신 방법,2020-02-28,2021-09-14,미국
상압 플라즈마 장치,2019-02-13,2020-11-19,대한민국
상압 플라즈마 장치,2020-02-12,2021-05-18,미국
전파 수신신호세기를 이용하여 단말의 이동방위를 추정하는 방법,2020-04-20,2022-03-29,미국
커패시티브 커플링을 이용하는 통신장치의 송신 및 수신 성능 개선 방법 및 장치,2020-03-11,2022-11-22,미국
베타소스기반 진성난수 발생 시스템,2020-06-03,2021-11-16,미국
영상 스티칭 워크플로우 및 파라미터 제공 방법 및 장치,2020-03-18,2022-10-26,대한민국
잔차영상을 이용한 전방위 자유도 지원 영상 합성 방법,2020-03-20,2022-05-31,미국
무선통신 시스템의 하향링크 전송을 위한 재전송 방법 및 장치,2020-03-18,2022-05-17,미국
비면허 대역에서 단말의 UL 피드백을 위한 설정 방법,2020-03-26,2022-08-09,미국
캡슐 내시경 영상 수신기 및 이를 포함하는 캡슐 내시경 장치,2019-07-30,2022-09-26,대한민국
5G 비정형 데이터 전송 (NIDD) 을 위한 인증 정보 업데이트 장치 및 방법,2019-12-05,2022-02-15,미국
응용기능 데이터 수집 서비스,2019-12-05,2022-08-23,미국
응용 프로그램간 파일 공유 장치 및 방법,2017-12-11,2022-10-13,대한민국
오류 관리기를 포함하는 반도체 시스템,2018-02-26,2021-11-10,대한민국
반도체를 위한 오류 관리기,2018-08-30,2021-06-15,미국
모스 전계 효과 트랜지스터,2018-03-09,2022-08-26,대한민국
인간 시각 시스템 모델링에 기반한 홀로그램 생성 장치 및 그 방법,2017-11-30,2022-10-11,대한민국
인간 시각 시스템 모델 및 DoF (Depth of Field) 기반 depth quantization을 이용한 CGH 생성 기법,2018-11-19,2021-05-11,미국
인터 예측 정보를 사용하는 방법 및 장치,2018-10-10,2022-07-27,대한민국
[FVC] 화면간 예측 정보 부/복호화 방법 및 장치,2020-04-02,2021-08-03,미국
이종 무선 접속망에서 액세스 네트워크 전환 방법 및 이를 수행하는 단말,2017-12-22,2020-02-04,대한민국
무인이동체 시스템 연동 방법,2018-09-20,2020-11-10,미국
[FVC] 영상 부호화/복호화를 위한 필터링 방법 및 장치,2020-04-20,2022-11-04,중국
온도 무관한 파장가변 레이저,2018-07-06,2021-07-13,미국
[FVC] 대표 샘플 기반 화면내 예측 방법 및 장치,2020-04-14,2022-06-28,미국
전방위 멀티카메라를 이용한 동영상 실시간 모니터링 방법 및 장치,2018-06-27,2021-10-13,대한민국
카메라 기반 컬러 측정 및 조색 시뮬레이션 방법 및 장치,2018-08-06,2020-02-18,미국
Dead-time 제어 기법,2018-07-27,2019-11-26,미국
신호 왜곡 저감 장치 및 방법,2017-12-05,2022-04-08,대한민국
